dataset,mechanism,bin,queries,driver_mean,delta_ndcg,depth_reduction_pct
arguana,dense,1,351,2.8454069559482513,-0.0006309826003914294,-1.7065389028317197
arguana,dense,2,352,3.7958577338308688,0.002137928357630876,-2.5556107651310636
arguana,dense,3,351,4.281288068224396,-0.0006748367713174935,-3.9033413500632212
arguana,dense,4,352,5.155646418339395,0.005272271310020538,-4.16044576132978
arguana,sparse,1,373,0.016041108132260944,0.002015289080316491,3.985027958906292
arguana,sparse,2,379,0.05624450307827616,0.0026013708297848597,4.465833171569313
arguana,sparse,3,270,0.09160493827160486,0.006105279443879657,8.725628115894883
arguana,sparse,4,384,0.16258680555555552,0.004824437857140684,13.60868852076735
fiqa,dense,1,162,10.554101536430778,0.002747779530542725,-7.612831501942164
fiqa,dense,2,162,12.374133610759257,6.818271299268577e-05,-14.017119060441871
fiqa,dense,3,162,13.94986236830077,-0.00659084107010729,-21.193691563677415
fiqa,dense,4,162,16.50053981096251,0.0019121143226951169,-25.338846298981835
fiqa,sparse,1,152,0.1576754385964912,0.015969380774048525,8.432424021280653
fiqa,sparse,2,176,0.27982954545454547,0.016057688665335537,5.048249155846255
fiqa,sparse,3,160,0.3779166666666667,0.011753629492531037,15.333166721002232
fiqa,sparse,4,160,0.5378125,0.01898390816439982,12.699407260818191
nfcorpus,dense,1,80,13.621532114633126,0.009310019794185123,-11.045089667454402
nfcorpus,dense,2,81,16.71090033212085,0.0093531303894304,-15.579269933068291
nfcorpus,dense,3,81,18.851200473231366,0.0036485929656803824,-61.554438055474535
nfcorpus,dense,4,81,21.361026473943955,0.00671796057360122,-5.648574279343717
nfcorpus,sparse,1,93,0.0,0.0005071342147036266,-0.9034813045848699
nfcorpus,sparse,2,68,0.09044117647058818,0.006847697287714796,2.224740009507518
nfcorpus,sparse,3,82,0.2207317073170731,-0.001568881558517406,7.934156796019918
nfcorpus,sparse,4,80,0.45145833333333324,0.012982472224004823,13.752894095771364
scidocs,dense,1,250,9.345443790872169,0.001242995141366458,-2.108135110078194
scidocs,dense,2,250,11.076142382257078,-0.0003563739790008207,-0.5389763925508418
scidocs,dense,3,250,12.629089476260917,0.00021888567175308847,-2.6851686772080363
scidocs,dense,4,250,15.163348779670239,0.0044673164862613956,-4.889106310503808
scidocs,sparse,1,253,0.08623188405797096,-0.002582515189234733,6.3040620845977005
scidocs,sparse,2,247,0.15991902834008093,-0.0007930936384923662,6.482035312976977
scidocs,sparse,3,262,0.22900763358778622,0.004743897658088336,7.58423552317082
scidocs,sparse,4,238,0.37156862745098035,0.005022872935268622,20.34730568058329
scifact,dense,1,75,6.78940223226548,0.011186979326445164,-0.4877307055774511
scifact,dense,2,75,8.49020473706117,0.009395094585217369,1.4670950242404155
scifact,dense,3,75,9.765994863746842,-0.007298313947213201,-7.965576248369446
scifact,dense,4,75,12.46854477956312,0.029565779911699626,0.9470014694794552
scifact,sparse,1,76,0.07171052631578943,0.014599736607038668,2.7621325554414136
scifact,sparse,2,66,0.13636363636363633,-0.0032462000326084514,10.232708251488372
scifact,sparse,3,82,0.2004065040650406,0.004232110170060704,9.684339192472553
scifact,sparse,4,76,0.33903508771929813,0.019908456210626136,13.234217070852337
trec-covid,dense,1,12,10.148664010128998,0.007242271601484971,5.568979391839396
trec-covid,dense,2,13,12.189071024243702,0.02293940839607953,5.510487409589157
trec-covid,dense,3,12,13.738206347914959,-0.01634595168284784,-0.0759416999171929
trec-covid,dense,4,13,15.718323545049607,0.01428243755621734,11.857130338701193
trec-covid,sparse,1,13,0.22307692307692303,0.03373850837541802,8.98203004082771
trec-covid,sparse,2,12,0.40138888888888885,0.005708796603796553,16.79325272597904
trec-covid,sparse,3,12,0.5083333333333333,0.06840286564724637,30.490484076295598
trec-covid,sparse,4,13,0.6820512820512821,0.05225014396146629,-5.218667011972598
webis-touche2020,dense,1,12,12.151943868969802,-0.006454189025351266,1.60925007184842
webis-touche2020,dense,2,12,13.76075540801933,-0.011117913564835212,-2.5071045826495846
webis-touche2020,dense,3,12,14.838254272489529,-0.0010863540582187435,0.11933792056740122
webis-touche2020,dense,4,13,16.66288056559692,0.04188872604173038,-1.0655201451317824
webis-touche2020,sparse,1,12,0.1458333333333333,0.0328709900388225,-6.751279460679903
webis-touche2020,sparse,2,13,0.26666666666666666,0.02537673818110879,-28.718187904533465
webis-touche2020,sparse,3,11,0.3909090909090909,0.05180144593803479,-30.106711697345563
webis-touche2020,sparse,4,13,0.6653846153846152,-0.006135691693399784,-62.29767523431612
macro_equal_dataset,dense,1,942,9.350927787035515,0.003520696252611678,-2.254585203456588
macro_equal_dataset,dense,2,945,11.199580746898894,0.004631350985359261,-4.031499757144583
macro_equal_dataset,dense,3,943,12.579127981452682,-0.004018402698895871,-13.894117096306063
macro_equal_dataset,dense,4,946,14.718615767589393,0.014872372314603659,-4.042622998158611
macro_equal_dataset,sparse,1,972,0.10008131621610983,0.013874074843016157,3.258702270826999
macro_equal_dataset,sparse,2,961,0.19869334932324037,0.007507571128091389,2.361232960404859
macro_equal_dataset,sparse,3,879,0.28841569630722796,0.02078147811304621,7.092185532501491
macro_equal_dataset,sparse,4,964,0.45855675021358067,0.015405228522786656,0.8751671975005451
