dataset,method,dense_total_reduction_pct,sparse_total_reduction_pct,dual_depth_improvement_rate
arguana,bridge_shared,21.434025702782154,21.48292080556412,0.6351351351351351
arguana,dense_only,-4.831947990800578,-4.850606231197152,0.32503556187766713
arguana,mugi_controlled,2.462982078074172,2.489089049097759,0.45519203413940257
arguana,original,0.0,0.0,0.0
arguana,proposed,15.249935109227774,15.281838487660481,0.6145092460881935
arguana,sparse_boolean_mask,21.456209292358576,21.50516643361723,0.6351351351351351
arguana,sparse_only,19.25037576284384,19.3005792943142,0.6728307254623044
arguana,sparse_references_only,2.4592093587584407,2.4853057790206967,0.45519203413940257
fiqa,bridge_shared,49.33104998899878,46.84913682685452,0.6743827160493827
fiqa,dense_only,-2.9187004767826874,-0.883265376502651,0.4660493827160494
fiqa,mugi_controlled,40.10852967922695,37.268858825692085,0.6527777777777778
fiqa,original,0.0,0.0,0.0
fiqa,proposed,49.69154076638404,48.6792392997102,0.7484567901234568
fiqa,sparse_boolean_mask,48.211970465724804,46.78504483961643,0.6574074074074074
fiqa,sparse_only,34.261142635364635,34.418611104091624,0.6712962962962963
fiqa,sparse_references_only,24.815080271168387,21.988679972628987,0.5740740740740741
scidocs,bridge_shared,46.35677457766085,37.89013961984157,0.683
scidocs,dense_only,7.0891761334060615,8.935291637604681,0.497
scidocs,mugi_controlled,41.81854468641622,32.627280322067854,0.651
scidocs,original,0.0,0.0,0.0
scidocs,proposed,35.409851166017326,35.38641579369502,0.718
scidocs,sparse_boolean_mask,42.66924390341023,43.14738119631877,0.679
scidocs,sparse_only,19.614920915005406,17.290845561610823,0.688
scidocs,sparse_references_only,40.667183841128605,31.291319452555843,0.591
webis-touche2020,bridge_shared,41.322981102604075,41.32414270959982,0.30612244897959184
webis-touche2020,dense_only,36.07530202175667,36.086271587507035,0.5306122448979592
webis-touche2020,mugi_controlled,9.101662957770863,9.097148684158906,0.30612244897959184
webis-touche2020,original,0.0,0.0,0.0
webis-touche2020,proposed,45.82594004986586,45.83382358708867,0.40816326530612246
webis-touche2020,sparse_boolean_mask,38.71041529829653,38.711417029454445,0.2857142857142857
webis-touche2020,sparse_only,25.656082425715898,25.65857421134512,0.32653061224489793
webis-touche2020,sparse_references_only,-13.512471366344148,-13.52217907989175,0.20408163265306123
