dataset,track,condition_id,method,reference_count,rrf_constant,queries,ndcg_at_10,recall_at_20,dense_depth,sparse_depth,sparse_support,sparse_exhaustion_rate,fallback_rate
arguana,fidelity,primary,query2doc,1,60,1406,0.39773583213637936,0.9217638691322901,150.4777145566619,150.05310573731626,8610.252252252252,0.0,0.0
arguana,fidelity,primary,mugi,5,60,1406,0.386482117508075,0.9177335229966809,144.06543385490755,143.24371740161214,7430.155998103367,0.00023707918444760548,0.00047415836889521095
arguana,fidelity,primary,hyde,8,60,1406,0.4010420402347147,0.8667614983404458,1672.9843527738265,1672.8266951161688,8587.830014224752,0.007586533902323375,0.0
fiqa,fidelity,primary,query2doc,1,60,648,0.3721090781319783,0.5371466525015908,1516.6882716049383,1492.2299382716049,43205.53446502057,0.0020576131687242796,0.0020576131687242796
fiqa,fidelity,primary,mugi,5,60,648,0.35025476147381973,0.530728604957,1989.0895061728395,1979.9567901234568,42295.51903292181,0.004115226337448559,0.0015432098765432098
fiqa,fidelity,primary,hyde,8,60,648,0.3219770970969673,0.4834468243804664,12246.409979423868,11415.297325102882,28384.567901234568,0.18415637860082304,0.0015432098765432098
nfcorpus,fidelity,primary,query2doc,1,60,323,0.3754632073972146,0.21974073231205268,404.4891640866873,364.2765737874097,2621.296181630547,0.04024767801857585,0.0
nfcorpus,fidelity,primary,mugi,5,60,323,0.37583150141399696,0.219462732456744,382.84623323013415,380.47058823529414,3220.02270381837,0.012383900928792569,0.0020639834881320948
nfcorpus,fidelity,primary,hyde,8,60,323,0.3468373165080588,0.21179481113226828,901.2136222910217,298.6212590299278,561.5263157894736,0.6553147574819401,0.0010319917440660474
scidocs,fidelity,primary,query2doc,1,60,1000,0.19383191944144712,0.2785555555555556,417.14233333333334,413.7263333333333,21223.36633333333,0.001,0.0003333333333333333
scidocs,fidelity,primary,mugi,5,60,1000,0.1875569373222482,0.27527222222222225,479.9073333333333,479.4066666666667,22739.75633333333,0.0006666666666666666,0.0
scidocs,fidelity,primary,hyde,8,60,1000,0.17639724239627447,0.2629888888888889,2893.2566666666667,2546.4543333333336,11503.031,0.12433333333333332,0.0
scifact,fidelity,primary,query2doc,1,60,300,0.738301488354159,0.9182222222222222,356.53777777777776,334.36777777777775,3916.715555555556,0.016666666666666666,0.0
scifact,fidelity,primary,mugi,5,60,300,0.7366365102605914,0.9124814814814816,318.1488888888889,309.77444444444444,4285.457777777778,0.012222222222222221,0.0
scifact,fidelity,primary,hyde,8,60,300,0.7376286943013196,0.9197777777777778,691.1055555555555,619.2822222222222,2765.673333333333,0.09666666666666666,0.0
trec-covid,fidelity,primary,query2doc,1,60,50,0.8112010719420869,0.04292155307640913,2025.2,2024.7866666666669,130463.74666666666,0.0,0.0
trec-covid,fidelity,primary,mugi,5,60,50,0.7907209108689135,0.041612720175445886,3439.166666666667,3438.76,136354.83333333334,0.0,0.0
trec-covid,fidelity,primary,hyde,8,60,50,0.6128540635827117,0.031945537495483914,26855.693333333336,25495.78,92683.78,0.08666666666666666,0.0
webis-touche2020,fidelity,primary,query2doc,1,60,49,0.4207691069500894,0.3539476230529353,1375.6122448979593,1375.204081632653,255974.0544217687,0.0,0.0
webis-touche2020,fidelity,primary,mugi,5,60,49,0.38117181230389596,0.3200196143753687,3022.9931972789113,3022.673469387755,273033.2517006803,0.0,0.0
webis-touche2020,fidelity,primary,hyde,8,60,49,0.28279580983290503,0.2853855236899511,14860.748299319726,14511.911564625849,151619.04081632654,0.04081632653061224,0.0
