method,top_l,ndcg_conclusion_change,ndcg_direction_reversal,recall_conclusion_change,recall_direction_reversal
bridge_shared,10,0.2313360683923997,0.11699636320668592,0.27017760709919675,0.05922305307530976
bridge_shared,20,0.16819532852265245,0.09253030307835387,0.23802167333048457,0.04485727179750754
bridge_shared,50,0.06426004806352033,0.03322630987914645,0.1845794957871157,0.02805127860462275
bridge_shared,100,0.016521931946578996,0.007014082833140281,0.11769667326540602,0.013761972896363495
bridge_shared,200,0.007926565780865395,0.004923437043990528,0.04491068880757388,0.004192275852139798
bridge_shared,500,0.0010954273847290704,0.0005851393188854489,0.012654562242607987,0.001997684435326159
bridge_shared,1000,0.0002680776014109347,7.348618459729571e-05,0.0053709511611900644,0.0
proposed,10,0.24851938039748603,0.11032690367975359,0.2552229061850103,0.044748471188345386
proposed,20,0.18229207889788612,0.08835986226272165,0.22498635970402922,0.03839445820099134
proposed,50,0.06949872389566863,0.030740774051522913,0.1884346810713568,0.030571446735196444
proposed,100,0.02171719717563318,0.007276682781059971,0.11739738806503759,0.009912460890789065
proposed,200,0.011909077935453398,0.006511592254092763,0.052277999400743236,0.006577282579234236
proposed,500,0.002952264057948437,0.00019504643962848294,0.020870799978667687,0.001118789667542502
proposed,1000,0.0019243875402198379,0.00012110523221634332,0.011840557550111546,0.0
