method,top_l,complete_top20_exact,ndcg_at_10_changed,recall_at_20_changed,ndcg_at_10_abs_error,recall_at_20_abs_error
bridge_shared,10,0.0,0.5021961985453488,0.3846251889633453,0.05789408303972592,0.05487502038070992
bridge_shared,20,0.0005651516177831967,0.3817276300391231,0.3286652659874791,0.038661672282944384,0.04333338930879834
bridge_shared,50,0.14061682776728093,0.15719815629493888,0.23792649093224763,0.013038443822711129,0.027767015487924738
bridge_shared,100,0.45648543856066165,0.047710012440178196,0.13543117517703843,0.004311860128888375,0.014848114452406972
bridge_shared,200,0.728713302929256,0.018338380817842777,0.052545951839507866,0.001237633012186716,0.005042661390997411
bridge_shared,500,0.8853874041637498,0.007306434390334617,0.016388775318908776,0.00030648410255652424,0.0012010709201345734
bridge_shared,1000,0.9309171081800977,0.0012398948997588454,0.008003333590003346,5.489325674571764e-05,0.00048233034253026213
original,10,0.0,0.49764472008858185,0.37173468138789006,0.06302135912790006,0.0540911992042036
original,20,0.019663626474771986,0.3955177836945702,0.31268757087156024,0.04247735958336223,0.041680497173588855
original,50,0.13817728104887178,0.1845543962668497,0.2536276212758806,0.016083396256446152,0.026754425550771177
original,100,0.40946767012704965,0.07708602284569513,0.14849660661452746,0.004430491915982147,0.014034679061150284
original,200,0.6610664331723493,0.03454131148421496,0.06276560365014694,0.001688625937261694,0.008505071079206375
original,500,0.8128709125080936,0.012380324449467895,0.039145911218845655,0.00041423443075497876,0.0014717710964409442
original,1000,0.8679916375952265,0.008650962919280773,0.019794436437598966,0.00014121838843137425,0.000785360033077876
proposed,10,0.0,0.49118305943906365,0.37821695517728315,0.05434550418528485,0.05272533364353177
proposed,20,0.019175522271497502,0.36199541467310326,0.30187997172070097,0.03612101956030616,0.03998376881891487
proposed,50,0.16539714185578144,0.13848557543794937,0.22720942506420208,0.010637808961416192,0.024341936325813673
proposed,100,0.4739953855094789,0.04880953057287451,0.12171454991062133,0.0033113879450506678,0.01342302386718411
proposed,200,0.7378390784102332,0.01852508152967284,0.058457300219843834,0.0009719748433071688,0.00592287801172334
proposed,500,0.8862320682714244,0.008931361312741934,0.01771639922272807,0.00044793363659608826,0.0016430252210449523
proposed,1000,0.9262228217992349,0.0038014217661444974,0.010149657189525768,0.00015147321039174575,0.000622024498944046
