dataset,track,condition_id,method,reference_count,rrf_constant,top_l,ndcg_at_10,recall_at_20,complete_top20_exact_rate
arguana,controlled,primary,bridge_shared,5,60,10,0.4011293021302341,0.8890469416785206,0.0
arguana,controlled,primary,bridge_shared,5,60,20,0.39987985017609495,0.9295874822190612,0.002844950213371266
arguana,controlled,primary,bridge_shared,5,60,50,0.399596273647543,0.9253200568990043,0.39853010905642483
arguana,controlled,primary,bridge_shared,5,60,100,0.4000375597401285,0.9220009483167378,0.7626837363679468
arguana,controlled,primary,bridge_shared,5,60,200,0.4003969700504824,0.9246088193456614,0.944760550023708
arguana,controlled,primary,bridge_shared,5,60,500,0.4003969700504824,0.9265054528212423,0.9881460407776197
arguana,controlled,primary,bridge_shared,5,60,1000,0.4003969700504824,0.9265054528212423,0.9952584163110479
arguana,controlled,primary,dense_only,5,60,10,0.4014496020638138,0.8869132290184921,0.0
arguana,controlled,primary,dense_only,5,60,20,0.3977712420633671,0.9267425320056899,0.0007112375533428165
arguana,controlled,primary,dense_only,5,60,50,0.3938421707113392,0.9165481270744429,0.3364153627311522
arguana,controlled,primary,dense_only,5,60,100,0.3942497607496877,0.9158368895211001,0.70791844476055
arguana,controlled,primary,dense_only,5,60,200,0.3952264755664599,0.9177335229966809,0.9058795637743006
arguana,controlled,primary,dense_only,5,60,500,0.39564049977870586,0.9186818397344713,0.974158368895211
arguana,controlled,primary,dense_only,5,60,1000,0.39564049977870586,0.9193930772878142,0.9879089615931721
arguana,controlled,primary,mugi_controlled,5,60,10,0.3929503360747593,0.8864390706495969,0.0
arguana,controlled,primary,mugi_controlled,5,60,20,0.3889182097326516,0.9215267899478425,0.0030820293978188716
arguana,controlled,primary,mugi_controlled,5,60,50,0.3839062240798249,0.9122807017543859,0.34471313418681837
arguana,controlled,primary,mugi_controlled,5,60,100,0.384224660120973,0.904457088667615,0.7268847795163584
arguana,controlled,primary,mugi_controlled,5,60,200,0.3840813387119868,0.9073020388809863,0.9122807017543859
arguana,controlled,primary,mugi_controlled,5,60,500,0.3842926058569953,0.9096728307254623,0.9793741109530584
arguana,controlled,primary,mugi_controlled,5,60,1000,0.3842926058569953,0.9108582266477003,0.9907539118065434
arguana,controlled,primary,original,5,60,10,0.4008816544812324,0.8890469416785206,0.0
arguana,controlled,primary,original,5,60,20,0.3971721839436907,0.9260312944523471,0.001422475106685633
arguana,controlled,primary,original,5,60,50,0.3930078602876121,0.9167852062588905,0.34210526315789475
arguana,controlled,primary,original,5,60,100,0.39321138116838417,0.914651493598862,0.7204836415362731
arguana,controlled,primary,original,5,60,200,0.394111305124692,0.9167852062588905,0.9096728307254623
arguana,controlled,primary,original,5,60,500,0.394111305124692,0.9203413940256046,0.9751066856330014
arguana,controlled,primary,original,5,60,1000,0.394111305124692,0.9196301564722618,0.9893314366998578
arguana,controlled,primary,proposed,5,60,10,0.40079308061537117,0.8878615457562826,0.0
arguana,controlled,primary,proposed,5,60,20,0.3992236449156394,0.9276908487434803,0.0021337126600284497
arguana,controlled,primary,proposed,5,60,50,0.3975210749285073,0.9231863442389758,0.3752963489805595
arguana,controlled,primary,proposed,5,60,100,0.39860490569975915,0.9210526315789473,0.74158368895211
arguana,controlled,primary,proposed,5,60,200,0.3989923588607965,0.9215267899478425,0.9305357989568516
arguana,controlled,primary,proposed,5,60,500,0.3991294213673484,0.9234234234234234,0.9869606448553817
arguana,controlled,primary,proposed,5,60,1000,0.3991294213673484,0.923660502607871,0.9957325746799431
arguana,controlled,primary,sparse_boolean_mask,5,60,10,0.4010836558369159,0.8890469416785206,0.0
arguana,controlled,primary,sparse_boolean_mask,5,60,20,0.39988167974704847,0.9295874822190612,0.002844950213371266
arguana,controlled,primary,sparse_boolean_mask,5,60,50,0.39966861953554134,0.9253200568990043,0.39853010905642483
arguana,controlled,primary,sparse_boolean_mask,5,60,100,0.40011274232071714,0.9220009483167378,0.7626837363679468
arguana,controlled,primary,sparse_boolean_mask,5,60,200,0.40047215263107105,0.9246088193456614,0.9442863916548128
