dataset,model_id,prompt_path,records,mean_prompt_tokens,mean_completion_tokens,mean_attempts,failure_rate
arguana,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/hyde-arguana-v1.txt,4218,316.6894262683736,92.06993835941205,1.0002370791844477,0.0
arguana,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/mugi-v1.txt,4218,341.5308202939782,78.90208629682314,1.0026078710289237,0.000474158368895211
arguana,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/query2doc-v1.txt,4218,309.7887624466572,41.05239449976292,1.0004741583688952,0.0
arguana,Qwen/Qwen2.5-7B-Instruct,prompts/primary-reference-v1.txt,4218,413.36723565670934,76.05097202465623,1.0009483167377904,0.0002370791844476055
arguana,mistralai/Mistral-7B-Instruct-v0.3,prompts/primary-reference-v1.txt,300,597.69,207.92,1.2133333333333334,0.1
fiqa,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/hyde-fiqa-v1.txt,1944,78.17798353909465,93.940329218107,1.0030864197530864,0.0015432098765432098
fiqa,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/mugi-v1.txt,1944,103.45884773662551,60.88065843621399,1.0036008230452675,0.0015432098765432098
fiqa,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/query2doc-v1.txt,1944,73.24331275720165,37.81635802469136,1.0041152263374487,0.00205761316872428
fiqa,Qwen/Qwen2.5-7B-Instruct,prompts/primary-reference-v1.txt,1944,175.50617283950618,68.60390946502058,1.0,0.0
fiqa,mistralai/Mistral-7B-Instruct-v0.3,prompts/primary-reference-v1.txt,300,201.49,135.84333333333333,1.0166666666666666,0.0
nfcorpus,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/hyde-v1.txt,969,76.83178534571724,88.75541795665634,1.0030959752321982,0.0010319917440660474
nfcorpus,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/mugi-v1.txt,969,95.03818369453045,65.87822497420021,1.0030959752321982,0.0020639834881320948
nfcorpus,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/query2doc-v1.txt,969,64.3157894736842,31.95252837977296,1.0,0.0
nfcorpus,Qwen/Qwen2.5-7B-Instruct,prompts/primary-reference-v1.txt,969,167.31578947368422,66.0515995872033,1.0,0.0
scidocs,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/hyde-v1.txt,3000,83.37733333333334,82.03066666666666,1.001,0.0
scidocs,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/mugi-v1.txt,3000,102.32766666666667,63.393,1.0003333333333333,0.0
scidocs,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/query2doc-v1.txt,3000,72.625,37.411,1.0023333333333333,0.0003333333333333333
scidocs,Qwen/Qwen2.5-7B-Instruct,prompts/primary-reference-v1.txt,3000,175.33666666666667,63.92133333333334,1.0003333333333333,0.0
scidocs,mistralai/Mistral-7B-Instruct-v0.3,prompts/primary-reference-v1.txt,300,196.86333333333334,119.74666666666667,1.0033333333333334,0.0
scifact,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/hyde-scifact-v1.txt,900,93.15,119.63333333333334,1.0033333333333334,0.0
scifact,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/mugi-v1.txt,900,108.84333333333333,80.99,1.0,0.0
scifact,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/query2doc-v1.txt,900,78.84333333333333,30.733333333333334,1.0,0.0
scifact,Qwen/Qwen2.5-7B-Instruct,prompts/primary-reference-v1.txt,900,181.84333333333333,85.38555555555556,1.0,0.0
trec-covid,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/hyde-trec-covid-v1.txt,150,79.22,104.32,1.0,0.0
trec-covid,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/mugi-v1.txt,150,104.22,74.48,1.0,0.0
trec-covid,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/query2doc-v1.txt,150,76.77333333333333,44.04666666666667,1.0066666666666666,0.0
trec-covid,Qwen/Qwen2.5-7B-Instruct,prompts/primary-reference-v1.txt,150,177.22,79.38,1.0,0.0
webis-touche2020,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/hyde-v1.txt,147,77.87755102040816,77.17687074829932,1.0,0.0
webis-touche2020,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/mugi-v1.txt,147,96.87755102040816,57.523809523809526,1.0,0.0
webis-touche2020,Qwen/Qwen2.5-7B-Instruct,prompts/baselines/query2doc-v1.txt,147,66.87755102040816,33.49659863945578,1.0,0.0
webis-touche2020,Qwen/Qwen2.5-7B-Instruct,prompts/primary-reference-v1.txt,147,169.87755102040816,63.734693877551024,1.0,0.0
webis-touche2020,mistralai/Mistral-7B-Instruct-v0.3,prompts/primary-reference-v1.txt,147,187.59183673469389,126.10204081632654,1.0,0.0
