method,metric,estimate,ci95_lower,ci95_upper
bridge_shared,ndcg_at_10,0.46713894597007005,0.4523884652282729,0.4815106132014884
bridge_shared,recall_at_20,0.4666415060377777,0.4548229593973011,0.47862748726010773
bridge_shared,dense_depth,607.4490849197238,471.96351938858265,786.9896652713098
bridge_shared,sparse_depth,606.74906123381,471.35990524128925,786.1935793261786
dense_only,ndcg_at_10,0.462113181308943,0.44720511221727216,0.47683131761332775
dense_only,recall_at_20,0.4636500048288905,0.451511791962675,0.4762361617795844
dense_only,dense_depth,1386.5298434215536,903.992836464146,1982.4579890131045
dense_only,sparse_depth,1219.9470233040959,805.9630651171332,1731.0894116703312
mugi_controlled,ndcg_at_10,0.4637879374969969,0.4489668673517286,0.4782339410831918
mugi_controlled,recall_at_20,0.463547468268689,0.4516632011715736,0.4753597223661838
mugi_controlled,dense_depth,741.5382717063976,523.5439586327135,1040.393669874866
mugi_controlled,sparse_depth,740.6520718130861,522.5759369808349,1039.5066076615747
original,ndcg_at_10,0.45719076991866364,0.4420211243381971,0.4723070880874072
original,recall_at_20,0.4585593751059151,0.4460435076426027,0.4712698309389003
original,dense_depth,1752.4284494887584,978.692185638545,2829.2113180370907
original,sparse_depth,1455.1354156387235,899.2376392162037,2165.065447080449
proposed,ndcg_at_10,0.47467516913522134,0.4601615418430129,0.48888783636152044
proposed,recall_at_20,0.46947894865783263,0.4575266274403232,0.4817515900856269
proposed,dense_depth,728.8784489973681,496.1051775527839,1033.7523742905469
proposed,sparse_depth,673.1993134501464,440.573270481521,975.6936926588821
sparse_boolean_mask,ndcg_at_10,0.4674988132673272,0.45281655962553563,0.4818733291755653
sparse_boolean_mask,recall_at_20,0.4660381286358756,0.45413537074057736,0.4779951959605534
sparse_boolean_mask,dense_depth,626.1448337003759,485.0504227482832,817.9495129915624
sparse_boolean_mask,sparse_depth,575.2441518971727,433.9979373282581,763.9098139925771
sparse_only,ndcg_at_10,0.4714091714334307,0.4566744206665387,0.4862246422862674
sparse_only,recall_at_20,0.467771097529128,0.456050189959761,0.4798546054187053
sparse_only,dense_depth,884.4407105458542,625.0972067941286,1234.2828371652895
sparse_only,sparse_depth,822.0168899723352,565.2146411635937,1170.0313812637157
sparse_references_only,ndcg_at_10,0.45649064250925325,0.4418203156880835,0.4706211332607478
sparse_references_only,recall_at_20,0.45924253734796183,0.4475994199647651,0.470979712038614
sparse_references_only,dense_depth,978.5421126815858,732.2533846256672,1282.864254136105
sparse_references_only,sparse_depth,974.8536233706972,729.1148131510157,1279.3795858203903
