dataset,track,condition_id,method,reference_count,rrf_constant,queries,ndcg_at_10,recall_at_20,dense_depth,sparse_depth,sparse_support,sparse_exhaustion_rate,fallback_rate
arguana,controlled,primary,bridge_shared,5,60,1406,0.4003969700504824,0.9265054528212423,123.42792792792793,123.00711237553342,8616.804883831199,0.0,0.00023707918444760548
arguana,controlled,primary,dense_only,5,60,1406,0.3956404997787059,0.9193930772878142,164.69203413940255,164.2619724988146,8587.830014224752,0.0,0.00023707918444760548
arguana,controlled,primary,mugi_controlled,5,60,1406,0.3842926058569953,0.9108582266477003,153.2316263632053,152.7633949739213,7508.769796111902,0.00047415836889521095,0.00023707918444760548
arguana,controlled,primary,original,5,60,1406,0.39411130512469195,0.9203413940256046,157.1009957325747,156.6628733997155,8587.830014224752,0.0,0.0
arguana,controlled,primary,proposed,5,60,1406,0.39912942136734836,0.9236605026078711,133.14319582740637,132.72190611664297,8587.830014224752,0.0,0.00023707918444760548
arguana,controlled,primary,sparse_boolean_mask,5,60,1406,0.400472152631071,0.9265054528212423,123.39307728781412,122.97226173541964,8587.830014224752,0.0,0.00023707918444760548
arguana,controlled,primary,sparse_only,5,60,1406,0.39783721690167356,0.9241346609767662,126.85846372688478,126.42603129445234,8587.830014224752,0.0,0.00023707918444760548
arguana,controlled,primary,sparse_references_only,5,60,1406,0.3843659165439636,0.9108582266477003,153.2375533428165,152.76932195353248,7508.769796111902,0.00047415836889521095,0.00023707918444760548
fiqa,controlled,primary,bridge_shared,5,60,648,0.36346630956316706,0.5390858398574447,1104.0545267489713,1103.5874485596707,46673.34722222222,0.0,0.0
fiqa,controlled,primary,dense_only,5,60,648,0.3643984720104689,0.530554674806218,2242.554012345679,2094.66975308642,28384.567901234568,0.020061728395061727,0.0
fiqa,controlled,primary,mugi_controlled,5,60,648,0.3580813543184074,0.5375854969219167,1305.0092592592594,1302.505658436214,45366.16563786008,0.0015432098765432098,0.0
fiqa,controlled,primary,original,5,60,648,0.36486416313643805,0.5260367590228702,2178.956790123457,2076.33024691358,28384.567901234568,0.012345679012345678,0.0
fiqa,controlled,primary,proposed,5,60,648,0.3780423656299448,0.5449657238623288,1096.1995884773662,1065.5884773662551,28384.567901234568,0.009259259259259259,0.0
fiqa,controlled,primary,sparse_boolean_mask,5,60,648,0.36274236667425785,0.5402191287222151,1128.4387860082304,1104.9182098765432,28384.567901234568,0.010288065843621397,0.0
fiqa,controlled,primary,sparse_only,5,60,648,0.3805609302782025,0.5446707955967215,1432.4212962962963,1361.6862139917696,28384.567901234568,0.011831275720164609,0.0
fiqa,controlled,primary,sparse_references_only,5,60,648,0.3444375673862635,0.5297554939916052,1638.2469135802469,1619.7726337448562,42777.69907407407,0.004115226337448559,0.0
scidocs,controlled,primary,bridge_shared,5,60,1000,0.190491603885545,0.27895555555555557,372.7136666666667,372.22066666666666,23239.600333333332,0.0,0.0
scidocs,controlled,primary,dense_only,5,60,1000,0.19372991919707264,0.27567222222222226,645.5453333333334,545.7453333333334,11503.031,0.02333333333333333,0.0
scidocs,controlled,primary,mugi_controlled,5,60,1000,0.18912894149406706,0.2767277777777778,404.2453333333333,403.7606666666667,23145.23,0.0,0.0
scidocs,controlled,primary,original,5,60,1000,0.1923367133669776,0.27208333333333334,694.801,599.294,11503.031,0.027,0.0
scidocs,controlled,primary,proposed,5,60,1000,0.1939894023139877,0.2786777777777778,448.773,387.2253333333333,11503.031,0.01633333333333333,0.0
scidocs,controlled,primary,sparse_boolean_mask,5,60,1000,0.19021180818749492,0.27844444444444444,398.3346666666667,340.7143333333333,11503.031,0.011,0.0
scidocs,controlled,primary,sparse_only,5,60,1000,0.19392578784040668,0.2749611111111111,558.5163333333334,495.671,11503.031,0.021,0.0
scidocs,controlled,primary,sparse_references_only,5,60,1000,0.18683669548362666,0.27469444444444446,412.245,411.767,23057.643666666667,0.0,0.0
webis-touche2020,controlled,primary,bridge_shared,5,60,49,0.3882506024998627,0.3344166655228695,1221.5238095238094,1221.2721088435374,284676.95238095237,0.0,0.0
webis-touche2020,controlled,primary,dense_only,5,60,49,0.38518128775925037,0.3478343281651163,1330.7687074829932,1330.2925170068029,151619.04081632654,0.0,0.0
webis-touche2020,controlled,primary,mugi_controlled,5,60,49,0.39534766948894723,0.33685356045262366,1892.2993197278913,1892.0408163265306,284240.3333333334,0.0,0.0
webis-touche2020,controlled,primary,original,5,60,49,0.37863737023350275,0.33819276362595646,2081.7755102040815,2081.387755102041,151619.04081632654,0.0,0.0
webis-touche2020,controlled,primary,proposed,5,60,49,0.407119438509186,0.3560404415782501,1127.7823129251701,1127.408163265306,151618.87074829932,0.0,0.0
webis-touche2020,controlled,primary,sparse_boolean_mask,5,60,49,0.38902418117843457,0.33542582580073727,1275.9115646258504,1275.6530612244899,151618.87074829932,0.0,0.0
webis-touche2020,controlled,primary,sparse_only,5,60,49,0.4034210720727777,0.3531193473296466,1547.6734693877552,1547.3333333333333,151618.87074829932,0.0,0.0
webis-touche2020,controlled,primary,sparse_references_only,5,60,49,0.36561333598729245,0.31991171302134586,2363.074829931973,2362.8367346938776,267666.0612244898,0.0,0.0
