dataset,analysis,queries,spearman_rho,pvalue_descriptive
arguana,dense_angle_vs_dense_only_delta_ndcg,1406,0.004619380178288825,0.8626056608282278
arguana,dense_angle_vs_dense_depth_reduction,1406,-0.06526255223632015,0.014382668955808716
arguana,sparse_turnover_vs_sparse_only_delta_ndcg,1406,0.034821714078629634,0.19191578692978645
arguana,sparse_turnover_vs_sparse_depth_reduction,1406,0.26792584150752136,1.5339360696907382e-24
arguana,relevant_rr_gain_vs_sparse_only_delta_ndcg,1406,0.425264130799135,7.57565449850014e-63
fiqa,dense_angle_vs_dense_only_delta_ndcg,648,-0.01079369940877556,0.7839000162050459
fiqa,dense_angle_vs_dense_depth_reduction,648,-0.06574399301143756,0.09449533475722435
fiqa,sparse_turnover_vs_sparse_only_delta_ndcg,648,-0.019954828009219626,0.6121290449096647
fiqa,sparse_turnover_vs_sparse_depth_reduction,648,0.2130784751884447,4.334898412020434e-08
fiqa,relevant_rr_gain_vs_sparse_only_delta_ndcg,648,0.4398740581823833,4.8491987323681447e-32
nfcorpus,dense_angle_vs_dense_only_delta_ndcg,323,-0.06162484537489874,0.26946728518537066
nfcorpus,dense_angle_vs_dense_depth_reduction,323,0.06771756012543663,0.22485889084319038
nfcorpus,sparse_turnover_vs_sparse_only_delta_ndcg,323,0.10128100792468354,0.06908510190483917
nfcorpus,sparse_turnover_vs_sparse_depth_reduction,323,0.36408374843240254,1.466990117750265e-11
nfcorpus,relevant_rr_gain_vs_sparse_only_delta_ndcg,323,0.3859006431257059,6.528367739469369e-13
scidocs,dense_angle_vs_dense_only_delta_ndcg,1000,-0.018382131223973353,0.5614992524522515
scidocs,dense_angle_vs_dense_depth_reduction,1000,0.005055754879987857,0.873134679745781
scidocs,sparse_turnover_vs_sparse_only_delta_ndcg,1000,0.05867201294513103,0.06364632875699049
scidocs,sparse_turnover_vs_sparse_depth_reduction,1000,0.24648446927232345,2.634900922079012e-15
scidocs,relevant_rr_gain_vs_sparse_only_delta_ndcg,1000,0.4343988926540389,2.776167693888562e-47
scifact,dense_angle_vs_dense_only_delta_ndcg,300,-0.019218778591279614,0.7402517584981639
scifact,dense_angle_vs_dense_depth_reduction,300,0.02406266690002942,0.6780702977022669
scifact,sparse_turnover_vs_sparse_only_delta_ndcg,300,0.07236746885567899,0.21135509379337317
scifact,sparse_turnover_vs_sparse_depth_reduction,300,0.2261891180006194,7.727365809277647e-05
scifact,relevant_rr_gain_vs_sparse_only_delta_ndcg,300,0.48181405801508065,7.647957632413084e-19
trec-covid,dense_angle_vs_dense_only_delta_ndcg,50,0.00977610630565572,0.9462786798677492
trec-covid,dense_angle_vs_dense_depth_reduction,50,0.06285714285714285,0.6645393163266285
trec-covid,sparse_turnover_vs_sparse_only_delta_ndcg,50,0.26551226581941206,0.06238178186654546
trec-covid,sparse_turnover_vs_sparse_depth_reduction,50,0.21635916486420856,0.1312645999714939
trec-covid,relevant_rr_gain_vs_sparse_only_delta_ndcg,50,0.37232676017098143,0.007753058961957229
webis-touche2020,dense_angle_vs_dense_only_delta_ndcg,49,0.1689795918367347,0.24576752546174369
webis-touche2020,dense_angle_vs_dense_depth_reduction,49,0.05061224489795918,0.7298228422552491
webis-touche2020,sparse_turnover_vs_sparse_only_delta_ndcg,49,0.03537790538115632,0.8093010691080095
webis-touche2020,sparse_turnover_vs_sparse_depth_reduction,49,-0.27173417934771493,0.05892595749875599
webis-touche2020,relevant_rr_gain_vs_sparse_only_delta_ndcg,49,0.19423964903384294,0.18110682755741841
macro_equal_dataset,dense_angle_vs_dense_depth_reduction,3776,0.011328403487542604,
macro_equal_dataset,dense_angle_vs_dense_only_delta_ndcg,3776,0.010479374817393139,
macro_equal_dataset,relevant_rr_gain_vs_sparse_only_delta_ndcg,3776,0.3905454559973097,
macro_equal_dataset,sparse_turnover_vs_sparse_depth_reduction,3776,0.18034094827397215,
macro_equal_dataset,sparse_turnover_vs_sparse_only_delta_ndcg,3776,0.07829679242792456,
