dataset,method,ndcg_at_10,recall_at_20
arguana,dense_contextual,0.39559290333326813,0.9191559981033666
arguana,dense_residual,0.39564049977870586,0.9193930772878142
arguana,original,0.394111305124692,0.9203413940256046
arguana,sparse_product,0.39783721690167356,0.9241346609767662
arguana,sparse_rewrite,0.3992341362719947,0.9276908487434803
fiqa,dense_contextual,0.36416558461461906,0.5316573943888758
fiqa,dense_residual,0.3643984720104688,0.530554674806218
fiqa,original,0.36486416313643805,0.5260367590228701
fiqa,sparse_product,0.38056093027820254,0.5446707955967216
fiqa,sparse_rewrite,0.36899112885873575,0.542935055627957
nfcorpus,dense_contextual,0.3756819952507042,0.21841403465704987
nfcorpus,dense_residual,0.3742070234936204,0.2172384400826006
nfcorpus,original,0.3669559523426591,0.2098937535853712
nfcorpus,sparse_product,0.3713607708802876,0.21522267403697026
nfcorpus,sparse_rewrite,0.37140155269634106,0.22000453640023065
scidocs,dense_contextual,0.19405437530338718,0.2756222222222222
scidocs,dense_residual,0.19372991919707264,0.2756722222222222
scidocs,original,0.1923367133669776,0.27208333333333334
scidocs,sparse_product,0.1939257878404067,0.2749611111111111
scidocs,sparse_rewrite,0.19166624257206358,0.27663333333333334
scifact,dense_contextual,0.7362710184039595,0.9135555555555556
scifact,dense_residual,0.7360213525488404,0.9135555555555556
scifact,original,0.7253089675798031,0.9035555555555556
scifact,sparse_product,0.7344936558662543,0.9192222222222222
scifact,sparse_rewrite,0.7371879594055909,0.9165555555555556
trec-covid,dense_contextual,0.7842919065905347,0.041228924657360284
trec-covid,dense_residual,0.7856137143746429,0.04130173568270692
trec-covid,original,0.7781209176465729,0.03981206659271425
trec-covid,sparse_product,0.818264766194413,0.0430668714304581
trec-covid,sparse_rewrite,0.8216058654748566,0.04301168508487438
webis-touche2020,dense_contextual,0.38506486083157415,0.34634822511541874
webis-touche2020,dense_residual,0.38518128775925037,0.34783432816511634
webis-touche2020,original,0.37863737023350275,0.33819276362595646
webis-touche2020,sparse_product,0.4034210720727777,0.3531193473296466
webis-touche2020,sparse_rewrite,0.3899436399825302,0.34210966070456333
macro_equal_dataset,dense_contextual,0.46216037776114954,0.4637117649571213
macro_equal_dataset,dense_residual,0.462113181308943,0.4636500048288905
macro_equal_dataset,original,0.45719076991866364,0.45855937510591505
macro_equal_dataset,sparse_product,0.4714091714334308,0.467771097529128
macro_equal_dataset,sparse_rewrite,0.46857578932315896,0.46699152506428493
