dataset,method,ndcg_at_10,recall_at_20
arguana,desa,0.3991294213673484,0.923660502607871
arguana,qudar_simple_rrf_matched,0.3985471679528942,0.9253200568990043
fiqa,desa,0.3780423656299448,0.5449657238623288
fiqa,qudar_simple_rrf_matched,0.38328069874435255,0.5553540166966093
nfcorpus,desa,0.3793063400880092,0.21952937736602907
nfcorpus,qudar_simple_rrf_matched,0.37800772252177745,0.2227442093435546
scidocs,desa,0.1939894023139877,0.27867777777777775
scidocs,qudar_simple_rrf_matched,0.19574166004230634,0.28112777777777775
scifact,desa,0.742740181615894,0.92
scifact,qudar_simple_rrf_matched,0.7402676670732354,0.9211111111111111
trec-covid,desa,0.8223990344221792,0.04347881741257187
trec-covid,qudar_simple_rrf_matched,0.8232746105659831,0.043789699815710494
webis-touche2020,desa,0.407119438509186,0.3560404415782501
webis-touche2020,qudar_simple_rrf_matched,0.41373055737630426,0.35003601526651634
macro_equal_dataset,desa,0.47467516913522134,0.4694789486578327
macro_equal_dataset,qudar_simple_rrf_matched,0.476121440610979,0.4713546981300406
