dataset,track,condition_id,method,reference_count,rrf_constant,queries,ndcg_at_10,recall_at_20,dense_depth,sparse_depth,sparse_support,sparse_exhaustion_rate,fallback_rate
arguana,ablation,primary,bridge_shared,1,60,1406,0.39787558618844604,0.9210526315789473,144.62565196775722,144.2112375533428,8594.940730203887,0.0,0.00023707918444760548
arguana,ablation,primary,dense_only,1,60,1406,0.39494757138577957,0.9191559981033665,171.3515884305358,170.92911332385017,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,mugi_controlled,1,60,1406,0.3319266037807897,0.8470839260312945,532.2375533428165,470.8150782361309,3889.975106685633,0.04670459933617828,0.00023707918444760548
arguana,ablation,primary,original,1,60,1406,0.39411130512469195,0.9203413940256046,157.1009957325747,156.6628733997155,8587.830014224752,0.0,0.0
arguana,ablation,primary,proposed,1,60,1406,0.3974534803958274,0.9212897107633949,152.4023233760076,151.9815078236131,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_boolean_mask,1,60,1406,0.39791914390855554,0.9210526315789473,144.6578947368421,144.2425320056899,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_only,1,60,1406,0.397382534468306,0.9215267899478427,141.72569938359413,141.29018492176388,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_references_only,1,60,1406,0.33195663796379415,0.8470839260312945,532.7522522522522,471.39758179231865,3889.975106685633,0.04670459933617828,0.00023707918444760548
arguana,ablation,primary,bridge_shared,3,60,1406,0.3981631521756559,0.922475106685633,134.11024182076812,133.68539592223803,8606.959933617827,0.0,0.00023707918444760548
arguana,ablation,primary,dense_only,3,60,1406,0.3957290913751621,0.9184447605500237,168.22996680891418,167.79800853485065,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,mugi_controlled,3,60,1406,0.37097026560655216,0.8926031294452347,229.36273115220484,225.65173067804645,6507.908250355619,0.0040303461356092935,0.00023707918444760548
arguana,ablation,primary,original,3,60,1406,0.39411130512469195,0.9203413940256046,157.1009957325747,156.6628733997155,8587.830014224752,0.0,0.0
arguana,ablation,primary,proposed,3,60,1406,0.39868942717397476,0.9212897107633949,141.90350877192984,141.481981981982,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_boolean_mask,3,60,1406,0.3982744183327911,0.922475106685633,133.5353247984827,133.11119013750593,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_only,3,60,1406,0.39721818555498034,0.9215267899478427,136.12944523470838,135.69630156472263,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_references_only,3,60,1406,0.37094384672576675,0.8926031294452347,229.29658605974396,225.58463726884779,6507.908250355619,0.0040303461356092935,0.00023707918444760548
