dataset,track,condition_id,method,reference_count,rrf_constant,queries,ndcg_at_10,recall_at_20,dense_depth,sparse_depth,sparse_support,sparse_exhaustion_rate,fallback_rate
arguana,robustness,contriever,bridge_shared,5,60,1406,0.3640700962017544,0.9001896633475581,179.60692271218588,179.11403508771932,8616.804883831199,0.0,0.00023707918444760548
arguana,robustness,contriever,dense_only,5,60,1406,0.35875764940642646,0.8902323376007587,213.50877192982455,213.03153153153153,8587.830014224752,0.0,0.00023707918444760548
arguana,robustness,contriever,mugi_controlled,5,60,1406,0.3542011137341486,0.8961593172119487,257.95637743006165,257.02370791844476,7508.769796111902,0.0016595542911332383,0.00023707918444760548
arguana,robustness,contriever,original,5,60,1406,0.35138543824281804,0.879800853485064,201.27382645803698,200.78093883357042,8587.830014224752,0.0,0.0
arguana,robustness,contriever,proposed,5,60,1406,0.36220058383205095,0.8987671882408725,182.09127548601234,181.60715979137032,8587.830014224752,0.0,0.00023707918444760548
arguana,robustness,contriever,sparse_boolean_mask,5,60,1406,0.3640545865974249,0.9004267425320057,179.53271692745378,179.04125177809388,8587.830014224752,0.0,0.00023707918444760548
arguana,robustness,contriever,sparse_only,5,60,1406,0.35575489015664513,0.8869132290184921,171.98364153627313,171.4701280227596,8587.830014224752,0.0,0.00023707918444760548
arguana,robustness,contriever,sparse_references_only,5,60,1406,0.35408655518734067,0.8963963963963963,256.96941678520625,256.29871977240396,7508.769796111902,0.0016595542911332383,0.00023707918444760548
arguana,robustness,mistral,bridge_shared,5,60,100,0.38727591979036097,0.9066666666666667,135.96666666666667,135.44333333333333,8610.83,0.0,0.1
arguana,robustness,mistral,dense_only,5,60,100,0.376584522807478,0.89,163.95,163.44333333333333,8570.57,0.0,0.1
arguana,robustness,mistral,mugi_controlled,5,60,100,0.3879821263697437,0.9,183.0666666666667,182.5966666666667,8069.753333333334,0.0,0.1
arguana,robustness,mistral,original,5,60,100,0.367362936803011,0.9,149.95,149.45,8570.57,0.0,0.0
arguana,robustness,mistral,proposed,5,60,100,0.38298414121883195,0.9,139.26666666666665,138.74666666666667,8570.57,0.0,0.1
arguana,robustness,mistral,sparse_boolean_mask,5,60,100,0.38727591979036097,0.9066666666666667,135.86,135.34,8570.57,0.0,0.1
arguana,robustness,mistral,sparse_only,5,60,100,0.37721059205581786,0.9,131.78,131.29666666666665,8570.57,0.0,0.1
arguana,robustness,mistral,sparse_references_only,5,60,100,0.3879821263697437,0.9,183.32333333333332,182.85,8069.753333333334,0.0,0.1
fiqa,robustness,contriever,bridge_shared,5,60,648,0.2645491919883619,0.42401125252205496,9889.126543209877,9879.154320987655,46673.34722222222,0.010288065843621397,0.0
