dataset,track,condition_id,method,reference_count,rrf_constant,queries,ndcg_at_10,recall_at_20,dense_depth,sparse_depth,sparse_support,sparse_exhaustion_rate,fallback_rate
arguana,ablation,primary,bridge_shared,5,2,1406,0.4060505689364447,0.9336178283546706,382.92958748221906,382.4796111901375,8616.804883831199,0.0,0.00023707918444760548
arguana,ablation,primary,dense_only,5,2,1406,0.40611290605716044,0.9295874822190612,449.6439070649597,449.2050734945472,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,mugi_controlled,5,2,1406,0.39983060212957156,0.9314841156946421,471.60123281175913,471.00213371266005,7508.769796111902,0.001422475106685633,0.00023707918444760548
arguana,ablation,primary,original,5,2,1406,0.40579107349640486,0.9345661450924608,435.41465149359885,434.9679943100996,8587.830014224752,0.0,0.0
arguana,ablation,primary,proposed,5,2,1406,0.40596417504022525,0.9321953532479849,416.42650545282123,415.99075391180656,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_boolean_mask,5,2,1406,0.4058872911640032,0.9333807491702228,381.2946894262684,380.84542437174014,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_only,5,2,1406,0.4054106091402638,0.933854907539118,404.28520625889047,403.8293029871977,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_references_only,5,2,1406,0.3998278708794128,0.9314841156946421,469.1126126126126,468.6507823613087,7508.769796111902,0.0011853959222380274,0.00023707918444760548
arguana,ablation,primary,bridge_shared,5,20,1406,0.4044621141826592,0.9345661450924608,382.2138454243717,381.76671408250354,8616.804883831199,0.0,0.00023707918444760548
arguana,ablation,primary,dense_only,5,20,1406,0.4010329405209152,0.9293504030346136,482.2686107159791,481.8134186818397,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,mugi_controlled,5,20,1406,0.39132989127072487,0.9284020862968231,445.8726884779516,445.242057847321,7508.769796111902,0.0018966334755808438,0.00023707918444760548
arguana,ablation,primary,original,5,20,1406,0.39973900158138104,0.930298719772404,462.81009957325745,462.3406827880512,8587.830014224752,0.0,0.0
arguana,ablation,primary,proposed,5,20,1406,0.4041665449601815,0.9333807491702228,419.4167852062589,418.97226173541964,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_boolean_mask,5,20,1406,0.40451485318632113,0.9345661450924608,383.06756756756755,382.6204362256994,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_only,5,20,1406,0.40314884193842165,0.9343290659080133,394.00189663347555,393.54148885727835,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_references_only,5,20,1406,0.3913838773817337,0.9284020862968231,447.69606448553816,447.0644855381697,7508.769796111902,0.0018966334755808438,0.00023707918444760548
arguana,ablation,primary,bridge_shared,5,100,1406,0.3991273369293528,0.9217638691322901,88.74656235182552,88.3271692745377,8616.804883831199,0.0,0.00023707918444760548
arguana,ablation,primary,dense_only,5,100,1406,0.3936247813269749,0.9163110478899952,104.08416311047891,103.65410146989093,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,mugi_controlled,5,100,1406,0.38253504261976956,0.9027975343764817,100.8511142721669,100.38738738738738,7508.769796111902,0.0,0.00023707918444760548
arguana,ablation,primary,original,5,100,1406,0.392878158461436,0.9167852062588905,101.19985775248934,100.75675675675676,8587.830014224752,0.0,0.0
arguana,ablation,primary,proposed,5,100,1406,0.3978518619779995,0.9198672356567092,94.02536747273588,93.6090564248459,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_boolean_mask,5,100,1406,0.3991255157784543,0.9220009483167377,88.73565670934092,88.31602655286865,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_only,5,100,1406,0.3965372052541058,0.9182076813655761,91.78568041725937,91.35775248933143,8587.830014224752,0.0,0.00023707918444760548
arguana,ablation,primary,sparse_references_only,5,100,1406,0.3825353933074258,0.9027975343764817,100.8605974395448,100.39781887150309,7508.769796111902,0.0,0.00023707918444760548
arguana,controlled,primary,bridge_shared,5,60,1406,0.4003969700504824,0.9265054528212423,123.42792792792793,123.00711237553342,8616.804883831199,0.0,0.00023707918444760548
arguana,controlled,primary,dense_only,5,60,1406,0.3956404997787059,0.9193930772878142,164.69203413940255,164.2619724988146,8587.830014224752,0.0,0.00023707918444760548
arguana,controlled,primary,mugi_controlled,5,60,1406,0.3842926058569953,0.9108582266477003,153.2316263632053,152.7633949739213,7508.769796111902,0.00047415836889521095,0.00023707918444760548
arguana,controlled,primary,original,5,60,1406,0.39411130512469195,0.9203413940256046,157.1009957325747,156.6628733997155,8587.830014224752,0.0,0.0
arguana,controlled,primary,proposed,5,60,1406,0.39912942136734836,0.9236605026078711,133.14319582740637,132.72190611664297,8587.830014224752,0.0,0.00023707918444760548
arguana,controlled,primary,sparse_boolean_mask,5,60,1406,0.400472152631071,0.9265054528212423,123.39307728781412,122.97226173541964,8587.830014224752,0.0,0.00023707918444760548
arguana,controlled,primary,sparse_only,5,60,1406,0.39783721690167356,0.9241346609767662,126.85846372688478,126.42603129445234,8587.830014224752,0.0,0.00023707918444760548
arguana,controlled,primary,sparse_references_only,5,60,1406,0.3843659165439636,0.9108582266477003,153.2375533428165,152.76932195353248,7508.769796111902,0.00047415836889521095,0.00023707918444760548
fiqa,ablation,primary,bridge_shared,5,2,648,0.3863957382645899,0.5392580684633154,1623.289609053498,1622.6923868312758,46673.34722222222,0.0010288065843621398,0.0
fiqa,ablation,primary,dense_only,5,2,648,0.3848255549014498,0.5429981883685587,2535.2361111111113,2418.409465020576,28384.567901234568,0.015432098765432098,0.0
fiqa,ablation,primary,mugi_controlled,5,2,648,0.38534264700761867,0.5394051350455671,1820.997427983539,1807.8760288065844,45366.16563786008,0.0025720164609053494,0.0
fiqa,ablation,primary,original,5,2,648,0.382718068129879,0.5308666770472326,2472.9506172839506,2333.722222222222,28384.567901234568,0.020061728395061727,0.0
fiqa,ablation,primary,proposed,5,2,648,0.39505444671849255,0.550897940365533,1659.4922839506173,1582.099794238683,28384.567901234568,0.015946502057613166,0.0
fiqa,ablation,primary,sparse_boolean_mask,5,2,648,0.3879111449958561,0.5407504503955121,1637.77366255144,1607.7474279835392,28384.567901234568,0.009259259259259259,0.0
