dataset,track,condition_id,method,reference_count,rrf_constant,queries,ndcg_at_10,recall_at_20,dense_depth,sparse_depth,sparse_support,sparse_exhaustion_rate,fallback_rate
trec-covid-100000,scale,primary,bridge_shared,5,60,50,0.8314890249047447,0.044786387656836665,589.1533333333333,588.78,83433.72666666667,0.0,0.0
trec-covid-100000,scale,primary,dense_only,5,60,50,0.8019484956843734,0.04275696740504278,2070.0733333333333,2069.4533333333334,56070.68,0.0,0.0
trec-covid-100000,scale,primary,mugi_controlled,5,60,50,0.8297264735352011,0.044805395404270455,914.0866666666667,913.74,82490.38,0.006666666666666666,0.0
trec-covid-100000,scale,primary,original,5,60,50,0.7929848018673276,0.04157267496766209,3346.68,3346.28,56070.68,0.0,0.0
trec-covid-100000,scale,primary,proposed,5,60,50,0.8388328388394719,0.0450199215687459,675.1266666666667,674.64,56070.68,0.0,0.0
trec-covid-100000,scale,primary,sparse_boolean_mask,5,60,50,0.8344567203558968,0.04489159632493382,579.9866666666667,579.6333333333333,56070.68,0.0,0.0
trec-covid-100000,scale,primary,sparse_only,5,60,50,0.8322371500731619,0.04459806156047831,992.0666666666667,991.6933333333334,56070.68,0.0,0.0
trec-covid-100000,scale,primary,sparse_references_only,5,60,50,0.825389528270247,0.044271698969539905,920.28,919.98,80468.16666666667,0.0,0.0
trec-covid-171332,scale,primary,bridge_shared,5,60,50,0.8168532182206378,0.04331282816426588,787.3066666666667,786.9266666666666,141483.14666666667,0.0,0.0
trec-covid-171332,scale,primary,dense_only,5,60,50,0.7856137143746429,0.04130173568270692,4400.98,3852.68,92683.78,0.013333333333333332,0.0
trec-covid-171332,scale,primary,mugi_controlled,5,60,50,0.8122807290277412,0.04344882635086182,774.16,773.8066666666667,139837.51333333334,0.0,0.0
trec-covid-171332,scale,primary,original,5,60,50,0.7781209176465729,0.03981206659271425,6270.92,4729.94,92683.78,0.02,0.0
trec-covid-171332,scale,primary,proposed,5,60,50,0.8223990344221792,0.043478817412571875,1574.8466666666666,1574.3666666666666,92683.78,0.0,0.0
trec-covid-171332,scale,primary,sparse_boolean_mask,5,60,50,0.8189986261566902,0.04317541474072262,788.46,788.1133333333332,92683.78,0.0,0.0
trec-covid-171332,scale,primary,sparse_only,5,60,50,0.8182647661944129,0.0430668714304581,1776.3733333333334,1776.08,92683.78,0.0,0.0
trec-covid-171332,scale,primary,sparse_references_only,5,60,50,0.8066641704139278,0.04262130170389605,1571.44,1571.14,136313.4,0.0,0.0
trec-covid-25000,scale,primary,bridge_shared,5,60,50,0.8550922718395868,0.04784978464742903,289.88,289.49333333333334,22431.706666666665,0.0,0.0
trec-covid-25000,scale,primary,dense_only,5,60,50,0.8292265631945007,0.046971333025205855,941.2733333333333,940.6466666666668,17644.68,0.006666666666666666,0.0
trec-covid-25000,scale,primary,mugi_controlled,5,60,50,0.8557587368706878,0.04789508718446821,277.6666666666667,277.2933333333333,22229.653333333335,0.0,0.0
trec-covid-25000,scale,primary,original,5,60,50,0.8292008612154352,0.04576965082548949,1021.76,1021.24,17644.68,0.0,0.0
trec-covid-25000,scale,primary,proposed,5,60,50,0.8613395550638355,0.048313791861019056,325.7066666666667,325.17333333333335,17644.68,0.0,0.0
trec-covid-25000,scale,primary,sparse_boolean_mask,5,60,50,0.8555800250551719,0.04800776189544709,316.00666666666666,315.62,17644.68,0.0,0.0
trec-covid-25000,scale,primary,sparse_only,5,60,50,0.8599522739751219,0.04847778438714035,437.16,436.7733333333333,17644.68,0.0,0.0
trec-covid-25000,scale,primary,sparse_references_only,5,60,50,0.8454768645496494,0.04729793452679454,326.8933333333333,326.5733333333333,21790.753333333334,0.0,0.0
trec-covid-50000,scale,primary,bridge_shared,5,60,50,0.8461959074569845,0.046606590717429314,351.02666666666664,350.66666666666663,42802.39333333333,0.0,0.0
trec-covid-50000,scale,primary,dense_only,5,60,50,0.8171359505005826,0.045329228791893564,1399.02,1398.4333333333334,30531.94,0.0,0.0
trec-covid-50000,scale,primary,mugi_controlled,5,60,50,0.8463314334101458,0.04668202993314357,431.50666666666666,431.18666666666667,42355.42,0.0,0.0
trec-covid-50000,scale,primary,original,5,60,50,0.8184249851296486,0.044339005564572674,1478.24,1477.8,30531.94,0.0,0.0
trec-covid-50000,scale,primary,proposed,5,60,50,0.8486486117004719,0.04690041613167272,515.7266666666667,515.2,30531.94,0.0,0.0
trec-covid-50000,scale,primary,sparse_boolean_mask,5,60,50,0.8476324569173925,0.046582875808971635,429.65333333333336,429.30666666666673,30531.94,0.0,0.0
trec-covid-50000,scale,primary,sparse_only,5,60,50,0.8436469421397333,0.046575719522581854,606.8466666666667,606.4866666666667,30531.94,0.0,0.0
trec-covid-50000,scale,primary,sparse_references_only,5,60,50,0.838631422054261,0.04593201336555646,521.6933333333334,521.42,41387.166666666664,0.0,0.0
